,row,genotype,location,Anthesis,Silk,Days to Anthesis,Days to Silk,Anthesis GDD,Silking GDD
1,TB17  589,b125x  b015,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
2,TB17  590,b169 x  b154,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
3,TB17  591,b107 x  b065,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
4,TB17  592,b189 x  b125,Genetics,7/27/2017,7/27/2017,71,71,4479.3,4479.3
5,TB17  593,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
6,TB17  594,b169 x  b111,Genetics,7/22/2017,7/22/2017,66,66,4121.95,4121.95
7,TB17  595,b175 x  b144,Genetics,7/19/2017,7/19/2017,63,63,3905.55,3905.55
8,TB17  596,b111x  B73,Genetics,7/24/2017,7/26/2017,68,70,4269.2,4409.65
9,TB17  597  ,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
10,TB17  598,b125x  b004,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
11,TB17  599,b144 x  b057,Genetics,7/27/2017,7/27/2017,71,71,4479.3,4479.3
12,TB17  600,b111 x  b057,Genetics,NA,NA,NA,NA,NA,NA
13,TB17  601,b154x  b004,Genetics,7/25/2017,7/27/2017,69,71,4339.55,4479.3
14,TB17  602,b102 x  b065,Genetics,7/25/2017,7/25/2017,69,69,4339.55,4339.55
15,TB17  603,b189 x  b111,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
16,TB17  604,B73v4,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
17,TB17  605,b175x  b015,Genetics,7/19/2017,7/21/2017,63,65,3905.55,4049.05
18,TB17  606,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
19,TB17  607 , b154 x  b125,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
20,TB17  608,b049x  B73,Genetics,7/25/2017,7/22/2017,69,66,4339.55,4121.95
21,TB17  609,b015x  B73,Genetics,7/23/2017,7/24/2017,67,68,4195.3,4269.2
22,TB17  610,b078 x  b049,Genetics,7/21/2017,7/21/2017,65,65,4049.05,4049.05
23,TB17  611,b131 x  b057,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
24,TB17  612,b189 x  b131,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
25,TB17  613,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
26,TB17  614,b175x  B73,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
27,TB17  615,b189 x  B73,Genetics,NA,NA,NA,NA,NA,NA
28,TB17  616,b107x  B73,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
29,TB17  617  ,b189 x  b049,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
30,TB17  618,b102 x  b044,Genetics,7/25/2017,7/25/2017,69,69,4339.55,4339.55
31,TB17  619,b175x  b004,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
32,TB17  620,b125 x  b057,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
33,TB17  621,b125 x  b102,Genetics,7/22/2017,7/22/2017,66,66,4121.95,4121.95
34,TB17  622,b136 x  b055,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
35,TB17  623,b169 x  b065,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
36,TB17  624,b169 x  b125,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
37,TB17  625,b175 x  b078,Genetics,7/19/2017,7/22/2017,63,66,3905.55,4121.95
38,TB17  626,b154 x  b144,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
39,TB17  627 , b057 x  b055,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
40,TB17  628,b111 x  b055,Genetics,NA,NA,NA,NA,NA,NA
41,TB17  629,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
42,TB17  630,b175 x  b057,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
43,TB17  631,b131 x  b055,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
44,TB17  632,b175 x  b107,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
45,TB17  633,b111x  B73,Genetics,7/21/2017,7/24/2017,65,68,4049.05,4269.2
46,TB17  634,b154 x  B73,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
47,TB17  635,b055 x  b044,Genetics,7/25/2017,7/24/2017,69,68,4339.55,4269.2
48,TB17  636,b125 x  b055,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
49,TB17  637  ,b189 x  b144,Genetics,7/23/2017,7/24/2017,67,68,4195.3,4269.2
50,TB17  638,b057 x  B73,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
51,TB17  639,b102 x  b049,Genetics,7/25/2017,7/23/2017,69,67,4339.55,4195.3
52,TB17  640,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
53,TB17  641,b154x  b040,Genetics,7/25/2017,7/22/2017,69,66,4339.55,4121.95
54,TB17  642,b049x  b015,Genetics,7/21/2017,7/21/2017,65,65,4049.05,4049.05
55,TB17  643,b111 x  b102,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
56,TB17  644,b144 x  b065,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
57,TB17  645,b055 x  B73,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
58,TB17  646,b057 x  B73,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
59,TB17  647  ,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
60,TB17  648,b065x  B73,Genetics,7/17/2017,7/17/2017,61,61,3765.4,3765.4
61,TB17  649,b189 x  b154,Genetics,NA,NA,NA,NA,NA,NA
62,TB17  650,b131x  b015,Genetics,7/19/2017,7/19/2017,63,63,3905.55,3905.55
63,TB17  651,b055x  b040,Genetics,7/19/2017,7/21/2017,63,65,3905.55,4049.05
64,TB17  652,b107x  b004,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
65,TB17  653,b189 x  b169,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
66,TB17  654,b154 x  b136,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
67,TB17  655,b154 x  b107,Genetics,NA,7/19/2017,NA,63,NA,3905.55
68,TB17  656,b175 x  b136,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
69,TB17  657  ,b154 x  b057,Genetics,7/23/2017,7/26/2017,67,70,4195.3,4409.65
70,TB17  658,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
71,TB17  659,b102 x  b055,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
72,TB17  660,b136 x  b125,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
73,TB17  661,b078x  b015,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
74,TB17  662,b107 x  b044,Genetics,7/25/2017,7/25/2017,69,69,4339.55,4339.55
75,TB17  663,b169 x  b055,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
76,TB17  664,b044x  b004,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
77,TB17  665,b144 x  b111,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
78,TB17  666,b102 x  b078,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
79,TB17  667  ,b154 x  b102,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
80,TB17  668,b131 x  b111,Genetics,7/23/2017,7/22/2017,67,66,4195.3,4121.95
81,TB17  669,b107 x  b057,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
82,TB17  670,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
83,TB17  671,B73v4,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
84,TB17  672,b175 x  b131,Genetics,7/19/2017,7/19/2017,63,63,3905.55,3905.55
85,TB17  673,b111 x  b049,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
86,TB17  674,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
87,TB17  675,b065 x  b057,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
88,TB17  676,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
89,TB17  677  ,b189 x  b044,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
90,TB17  678,b169 x  b057,Genetics,7/22/2017,7/24/2017,66,68,4121.95,4269.2
91,TB17  679,B73v4,Genetics,7/20/2017,7/22/2017,64,66,3977,4121.95
92,TB17  680,b125x  b040,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
93,TB17  681,b102x  B73,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
94,TB17  682,b065x  b015,Genetics,7/21/2017,7/24/2017,65,68,4049.05,4269.2
95,TB17  683,b144x  b040,Genetics,7/20/2017,7/21/2017,64,65,3977,4049.05
96,TB17  684,b004x  B73,Genetics,7/23/2017,7/23/2017,67,67,4195.3,4195.3
97,TB17  685,b125 x  b044,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
98,TB17  686,b169 x  b131,Genetics,7/21/2017,7/21/2017,65,65,4049.05,4049.05
99,TB17  687  ,b175 x  b154,Genetics,7/21/2017,7/22/2017,65,66,4049.05,4121.95
100,TB17  688,b169x  b004,Genetics,7/24/2017,7/24/2017,68,68,4269.2,4269.2
101,TB17  689,b144 x  b125,Genetics,8/3/2017,8/4/2017,78,79,4938.85,5006.95
102,TB17  690,b154 x  b055,Genetics,7/20/2017,7/20/2017,64,64,3977,3977
103,TB17  691,b125 x  b049,Genetics,NA,NA,NA,NA,NA,NA
104,TB17  692,b078x  B73,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
105,TB17  693,PHZ51,Genetics,NA,NA,NA,NA,NA,NA
106,TB17  694,b175x  b040,Genetics,7/19/2017,7/20/2017,63,64,3905.55,3977
